comments,ratings
这年头就这样的港剧也能拿到8.2，华语影视是真的没有好内容了是吧？以职场教科书自居，教职场新兵不要功高盖主，不然会被上头牵制。拜托，你要是真的功高到能盖主，你成为自己的主不可以吗？还有什么这年头最毒的骂人话是“找个男人嫁了吧”，编剧怕是这辈子都没见过既嫁人又生孩子，家庭幸福又创业赚钱的女人吧？,1
看了两集就看不下去，公司老板跟无能智障一样，啥都靠俩主角光环的手下。还有新闻直播中中俩人暗戳戳吵架，给白眼，一个不说结束语，能拍的正常点吗,1
路过的新传生发出了一声：“啊？”,1
开头有多好看，现在就有多难看，这是哪个写的剧情。,1
斗斗斗，斗🐮🐴个大雪碧，「真正的敌人」当没看见，搁这玩「房间里的大象」呐？,1
今夕何年？香港公共交通上连个行车记录仪都没有么,1
看了第一集，真够浮夸的呀。,1
不愧是新闻女王买营销通稿倒是挺会的,1
三观不正的电视剧就应该封杀掉，佘诗曼也是个大骚货，现实中经常做人小三！,1
设置一段女下属幻想男上司骚扰自己的戏份挺恶心，很low，非常符合香港这个没有破四旧、爱男人爱得要亖的地方,1
背刺ME TOO，你怎么敢的,1
一部持续不间断输出不健康价值观的，女主时刻装逼剧。,1
有一说一，挺难看的，剧情老套，为了爽而爽，tvb什么时候浮夸得像没上过班一样。,1
小学生剧情 别说跟新闻没半毛钱关系 宫斗手段也很古早 爽点在哪里？,1
这个“飞爷”的普通话版配音是配太监配多了吗？！而且剪辑什么鬼？各种各种各种慢镜头，85%的慢镜头，这就是TVB？,1
很燃，因为很宫斗，能下饭，就是粉丝不要踩着其他剧夸这个是职场剧啦～,1
就无能小器拍马屁跪舔的俩男上司来说，是写实的！因为无能，一见工作能力强的女人就破防，写实的～男权社会下，废物男抱团，娇妻上司也爱男,1
"小儿科
这么多好评哪儿来的
佘诗曼所谓的演技欣赏不来",1
小孩子在假装上班,1
叽里呱啦真的烦,1
？？难看难听的一批 土土的 拿着 TVB 的情怀，做着像是网红拍出来的模仿港剧一样，又夸张，又奇怪，味道完全没有……,1
雷鸡母鸡咩也告左做作？？？,1
港剧的风格我能理解，但不能为了风格而风格。警察消防队员都没到，记者先到了，进入爆炸现场一顿操作，刻画他们跑得比西方记者快也不能这样吧。相比之下，同一家媒体的不同主播抢地盘抢人不可开交，播报新闻的语速却突然变慢了0.5倍速。西方媒体训练的结果现在都这么拧巴嘛。,1
这表演还是一股子油腻感。剧情也很扯淡。有人这么抓方向盘，一车人直接一人一脚踢上去了。,1
我每天就看一集电视剧的时间，新闻女王这两天给我播什么：米兔事件真相系投诉女生意淫男主播、自称坚持新闻真相的家妍在澄清直播中替男主播出轨打掩护、手段狠厉野心昭昭的Cathy私下是为痴呆父亲而做女主播的良家女、拥有精神疾病的女主播因为家人意外失去全部权势地位、权力顶点的方太用买包物化员工敲打主角如何用人……真行啊，看来看去出不去这紫禁城了，一不小心得以为清朝复见了，职场女性真的是权力太大了，再不打压明天就统治世界了,1
大巴侧翻什么贵特效，动画片吗？lj！,1
披着职场外衣的爽文罢了，浑身难受。,1
看不懂13集，先一星预定下，有别的高光再改,1
有病？这么好的性骚扰话题变成痴女单恋？？脑残吧,1
这剧能不能别买营销了，买营销次次都要踩内地。,1
太drama太假太没有专业精神,1
��什么样的编剧能写出下属自作多情暗恋领导才冤枉领导性骚扰她，亏还买了这么多女权主义的营销,1
果然香港娱乐圈是黑社会捧出来的  不管什么斗争都搞得和小混混火并一样  什么前朝余孽  垃圾三观,1
有朋友推荐说看这部剧学职场宫斗，应用到职场里，我无言以对,1
真的好傻逼，还能这么高分，要笑死了。新闻剧不讲怎么做新闻一直搞宫斗，tvb什么时候变得这么傻逼了。,1
13集这个垃圾剧情，等着宣传反噬吧,1
太刻意了，反倒生硬。,1
就这？这么扯得剧情也能叫“新闻女王”，办公室政治大乱斗还差不多,1
剧只能说是个中规中矩的剧，但剧粉的优越感和脑残让人忍不住一星送上,1
不巧，迷雾和新闻编辑室都全剧看过。说抄都觉得拉低前两部，但又处处都在拙劣模仿改写抄袭前两部的皮毛，还能过8分？,1
不好看,1
辱女gun,1
挺好笑的，场场都是新闻事故，却取名叫新闻女王,1
记者比救护快…不愧是香港记者…热评说精神内核是吧，对比一下我们与恶的距离呢。当然这行冷血是日常，要命的是以主方视角拍出来。但凡以审视的角度呢。,1
剧还行，就是女主是个垃圾，实在受不了，拿手下人的生命做赌注，然后还在那圣母慷慨激昂的说我相信她没事，要么就当个恶人，要么就好人，明明是个垃圾人还要洗白，可以预料到后面又会洗白，然后家研天天白莲花刚正不阿挂在嘴边，背叛自己男朋友，没啥意思，一群垃圾货，看个乐了。,1
搞什么。不是把男的爱做的事按到女人的头上就叫女性视角。还有你这个海报，我请问你见过哪个国王的画像是为了男同画的。,1
佘诗曼值得信任……不要烂尾！果然烂尾,1
有些部分不错，但是“贞洁对女人很重要”很港剧,1
全是bug，劫持案警察吃干饭的吗？谁也能进现场？公交车侧翻不封锁现场？我服了，就这？职场就是员工用破坏公司利益来威胁管理层？香港资本家开善堂的吗？yue～,1
这啥啊，太尴尬了 黄金七分钟 毫无亮点,1
2集弃，浮夸，没逻辑。现在还是一个新闻主播撑起一个电视台的时代？疑惑。还可以在直播前30秒威胁上司？为了拿行车记录仪直接砸车？求上市公司老总来采访就跪？一个大型上市公司遇到公关危机直接打电话给新闻台主播求助？主播还能123的教老总做事？警察消防来的比新闻记者慢就不提了，来了不拉警戒带？还能让媒体掀开尸袋拍尸体？除了不谈恋爱，和大陆浮夸的职场剧没啥区别，高光，慢镜头，哎,1
只能说TVB不是以前的TVB了。这就是砸招牌。。。。。,1
不要啥不啥都来沾边女权/女性友好吹嘘自己行吗？简直一堆乐色,1
太可怕了。第七集直接 pua 现场记者去到火场里面，还说让人看看什么叫新闻的极致。编剧怕不是脑子有坑吧。,1
不好看，内娱没有好的编剧了吗,1
披着新闻的外衣完全没有抓住时代的关键，港剧雄起还需努力，一集半弃,1
来来去去还是那一套,1
太浮夸了,1
咋滴？女领导pua就不算pua了啊？,1
勾心斗角的职场题材审美疲劳，佘诗曼的鼻孔越来越抢镜，马明装腔作势的演技依旧浮夸。可能还是主演和题材不喜欢吧，半集弃,1
不愧是紫微星觉醒之年捏，弹幕一个个XXN蜜汁觉醒高潮搁那打拳也是够倒胃口的,1
毫无大女主气质，装腔作势的绿茶。,1
男编剧是出于何种心理写出♀人自己yy被xsr这么小众的案例的我请问？？,1
看了不到二十分钟就看不下去了。一个播新闻的，莫名其妙的配乐，莫名其妙的眼神，这玩意儿还能拿8.3分？豆瓣现在的评分真是越来越无力了,1
港剧真是没落了这都能有8.2分，剧情逻辑混乱，毫无新闻伦理，打着职场女强人的旗号内里啥也不是。一星给演员演技吧。,1
港剧总是吹的很厉害，真看了也就那样,1
现代宫斗,1
女频爽剧集大成者,1
剧里新闻人都是这水平，也就能理解现实中这些只要流量不要亲妈的新闻人了。,1
大台连最拿手的职业剧都不行了。,1
还可以吧。,1
"大家对港剧的标准，要求这么低了吗？
第一集，车祸发生，记者听到消息，记者开完会赶到了，车祸里面的人才从大巴里面往外爬",1
看到诬告性骚扰那段实在太无语了…还以为这是什么女权剧吗，屎都糊你嘴上了！“投诉性骚扰很容易？”“利用女性优势？”爱男剧滚远点,1
传播学四大奠基人的棺材板压不住了,1
我真的生气了。。。。。,1
看了演员表就知道一路夸夸夸就是骗人的……有家嫂同谭影帝在感觉马明同阿佘的演技都下降了 剧里面几个配角也用力过猛 剧情老套又尴尬,1
和以前的tvb完全没有可比性，弃,1
演气场全开大女主不是瞪眼和油腻歪嘴笑，搞氛围不是疯狂慢放和拉广角。不会演不会拍可以把自家90年代的存货罚抄三十遍。,1
难评,1
20年前的TVB演技，20年前的TVB配音，20年前的TVB剧情，二十年前肯定是不错，现在这种做作演技怎么会有人觉得好看？还是中国太剧荒了？,1
以爱为营是烂，但这部也不好。,1
那一年，一城的绿马甲全是小反贼，你猜我还能不能看得进去落魄户的回光返照？！,1
十年前都会觉得土的剧,1
太做作了……,1
服了，宫斗剧,1
一星都给高了,1
到底是播新闻的还是搞侦查的？,1
写女下属污蔑男上司性骚扰的男编剧死了,1
从选角到造型妆发到情节到剪辑包装 都透着一种“拍电视剧这玩意我们搞了几十年了 就是这么搞下来的”油腻 我想说你们不行就老老实实翻拍新闻编辑室吧 tvb的时装剧就是垃圾 没什么可继承发扬的,1
"update：乐色。
动不动就“我给你示范一下什么是新闻的极致”、“让我告诉你什么叫主播”，以为能憋出多大个招来呢，结果屁是放得震天响啥也没崩出来，纯粹为了李施嬅才看的。",1
太烂了，里面的配角演技真的好像随便抓的路人来演的,1
越来越差劲了,1
"披着新闻皮的宫斗剧，男女老少就在演播室、化妆间、楼道、酒吧……各种摄影棚搭的内景里，对坐两边斗嘴皮。

剧情推动都靠说。每个人都跟打了肾上腺素似的，永远亢奋，永远备战状态。
抖音版港剧",1
什么年代了，本子太过时了，太造作了，表演模式50年没进步，看看《亿万》《继承之战》怎么演大佬的，真的差距太大了,1
批着所谓大女主职业女性的外皮实际上还在玩封建迷信的宫斗那一套，关键是斗了十几集连特么办公室都没出去，格局太小了,1
实在太假了吧，完全不需要脑子看,1
浮夸的表演，过时的剧情，矫情的人设，到底是谁在喜欢？,1
自己的b班还没上够吗……下了班还看宫斗……,1
打高分的真的看过么， 尬到头皮发麻生理不适，港剧沦落成这样么，看得让人恍惚，演技浮夸虚假，服化道装逼到不行,1
剧情让人哭笑不得，台词越听越别扭。,1
难看，太浮夸+太装,1
披着新闻剧皮的宫斗剧 还很过时的那种 极度浮夸极度drama 所有角色精神状态都不太正常的样子 哎 再次怀念多年前TVB巅峰期的职业剧 那才是真正的精英感和专业精神,1
看了两集，每个人脸上都写着上位，没有看到新闻，和新闻直播间差了二十个冲上云霄,1
挺烂的，跟台剧《我们与恶的距离》没得比。跟美剧《早间新闻》也没得比。看的时候觉得可笑，两个人争来争去，就是那点儿地方的那点儿事儿，感觉格局特别小。而且编剧超搞笑，小薇手机丢了，跟男一在楼梯间说意思那照片是他俩被拍的，下一句又说我们从来都是分开走怎么会被拍。这逻辑，编剧有脑子吗？给这样的剧打高分，真的港剧太没落了吧，瘸子里面拔将军。演员长得又不如上一代港星靓。港剧再翻不起什么风浪了。,1
感觉不如10年前的网文...爽点,1
宣传的过了 看了几集有点失望 浮夸,1
想吃内地这碗饭，就先练好普通话吧。时代不同了，这浓重的港普真的很劝退人。,1
是觉得只要节奏拍快点观众就没时间思考合不合理吗,1
下饭努力看了两集，好弱智的剧情，好做作的表演，好白痴的台词。。。我天，看不下去。。。就这？港剧要崛起啦？和内地佳作比，比得上吗？也就差个火星到地球的距离吧,1
开播前几分钟罢工给领导施压是抄的韩剧吧？对许诗晴充满男凝的人设塑造和镜头特写我真是要吐了。自己能力强不等于就可以免费使唤别的女性给自己打杂，这不是女王这是剑种。一星就给“找个男人嫁了”,1
新闻是这么做的吗？媒体人震惊，真是侮辱了新闻。喜欢张家妍。,1
男女主的演技尬到让人扣出三室一厅,1
什么三观不正的东西,1
悬浮，难看，装。试问一个电视台整得像个皇宫一样，大家为名为利，争个你死我活，格局是不是太小了？现实中电视台也是这样的？,1
有点莫名其妙的，为了搞事情而搞事情，全员人设都很讨厌，都自以为是，装腔作势，怎么有这么高评分，没有病吧,1
说实话非常非常悬浮。滤镜白茫茫一片。,1
被朋友安利的，看完第一集就被雷的退出，公交车车祸现场是这样的吗，记者比消防员先到？消防员一排人就这么跑过来的？直播前几十秒还在跟老板对抗这是现实里想都不敢想的吧，其他人不是坏就是蠢，记者要么一股脑往上冲要么怂的一逼，全是刻板印象，编剧和导演真正了解一下行业再拍吧,1
港剧也这样了,1
港剧的黄金时代已经过去了……现在无论剧情，画面，色彩都味同嚼蜡。为什么啊？,1
一集弃，一群深井冰，职场环境已经够差了，求求东亚各地别再拍这种剧渲染了,1
和朋友共同“一集弃”,1
给XXXX者打了一针兴奋剂+鸡血混合针，但实际剧情脱离现实，港式表演模式化，不好看。,1
挺好看的，但是像做阅读理解一样的台词。听着太装了。,1
本来一直在观望，就凭13集就是负分，，,1
不好看。,1
办公室政治 恶心,1
看的想呕……,1
奇奇怪怪,1
看了20分钟受不了了 剧情烂到爆，热搜营销什么开局10分钟阿佘和马明过招节奏快blabla，结果就是两个人站台阶上斗嘴；公交侧翻之后女主先召集手下开会，开会之后手下赶到现场（其中一公里路还是跑过去的），拍了一段素材之后警察和消防才到现场，也不知道是香港警察消防员现实效率就是这么低下还是剧本写的扯淡。。。一整部剧就是套着记者的皮讲职场宫斗，新闻部分写的相当悬浮，建议改名职场女王不要硬蹭新闻这个主题，奔着看tvb怎么拍记者这个职业来的被狠狠创到 麻烦这么悬浮不落地的电视剧就不要踩着内娱营销了ok？,1
本来非常好 为什么送警察去死,1
怎么打出来的8.1分啊。。剧本演绎服化道甚至演员演技都很差，做作浮夸胡编乱造的！港剧现在这么菜吗！半集弃！,1
别买拉踩营销了，一样烂，tvb现在这个产出怎么好意思拉踩的啊？你看看和以前能比吗？,1
新闻报道很假，记者又做侦探又做警察的。警察闯不进去的屋子。记者能进去。表面是新闻剧，其实是女版龙傲天职场爽剧罢了,1
不好看，一开始就很假   公交车侧翻那个真是无力吐槽，实在太难看了，已弃剧,1
脱离实际，脱离社会，披着新闻外皮演着办公室恶臭，还一副正人君子的样子。评分 8.2，是什么支撑的？女性爽剧的女字？还是爽字？还是 tvb 情怀？,1
为了大女主爽而爽的剧情，披着新闻皮的宫斗剧，印象最深的是晓薇暴怒对着许诗晴摔杂志掀桌子，真的是一怒之下怒了一下（白眼翻上天。吃饭的时候不用动脑才放着看，还是要感谢这部剧，治好了我们家里人看剧不吐槽的毛病。tvb死了我说的，上帝也救不了它。,1
浮夸,1
少拉踩内地剧,1
导演，我只是非新闻专业的大学生，并不是真的傻。火灾时候竟然是记者先到，香港的消防员是刚在房间内斗完地主吗？,1
不择手段进入火场报新闻，命都不要，这新闻不看也罢,1
不要吹。太一般了,1
浮夸,1
不好看,1
不理解 但在箱子家跟着看了五集 办公室政治令人窒息。想知道谁才是女王,1
这部剧的槽点多到我无处下嘴,1
报看，吹的风真大，一点都不好看，没意思，无聊,1
好封建尊的,1
太浮夸了，从导演到编剧到演员没有一点生活常识吗？很无语=_=,1
现在的港剧抄欧美剧的程度，换成大陆剧早就被骂出街了，居然有脸搞口碑营销。模式化的表演方式，打着职业剧的旗号，内里只有狗血恋情和低级宫斗。看到第十集照抄《newsroom》存疑死讯的情节，连台词都不变，却完全颠倒立意，恶心得想吐。,1
看了几集不好看，已弃😒😒😒😒😒,1
看了半集，又是特斯拉，又是苹果的，果断弃,1
营销还得看港台，剧情悬浮，演技浮于表面，典型TVB式快餐制作。不过我第一次看到国产剧能把父权制度对女性的控制及压迫放到明面上来讲，也算是一大进步。三星改一星，剧情发展越来越让人不适了。,1
反正我不喜欢这种类型,1
不实事求是 如果这种就是新闻人 那未免太可悲了,1
不可否认，几个主角演技没有问题，台词剧情看着也确实很爽，但是某些地方过于夸张脱离现实，根本经不起推敲，剧集过半，剧情内容除了斗还是斗，其实这就是一部披着职场剧外衣的权利游戏罢了，可以当作饭后娱乐，却没有一点内涵值得宣扬！ 营销手段就和剧中人一样三观不正不择手段，靠拉踩内娱来炒热度但现实中削尖脑袋要嫁入豪门的都是港台女明星，内地女星都说自己就是豪门；内地女生普遍没有对夫家的服务意识，港台那面还把侍奉公婆经常挂在嘴边；更保守的好像是港台诶,1
看的人焦虑 很讨厌这种 人文和文化的匮乏 不管社会地位多高 穿什么名牌 都一股贫穷匮乏的感觉,1
这种垃圾剧真是开了眼了，看着生理不适，凭什么能上八分？怕不是营销预算充足吧？,1
假的要死，光第一集的槽点就数不清。还指望着这部剧来警示一下内娱，笑死。现在的港剧貌似还停留在十年前。究竟谁在夸？,1
这种过时的烂剧别再尬吹了,1
太浮夸了，我们国家的记者真的有那么大权利吗？比警察还厉害？只能说同行衬托吧，老掉牙的剧情，编剧还停留在几十年前吧。,1
爽文而已，没有任何意义的剧,1
记者比消防到的还早,1
演技浮夸，台词呆傻，剧情逻辑又经不起推敲。没完没了的同事宫斗，真的很烂啊,1
还行 没有像短视频上面刷到的那么好看 一般吧 不是特别吸引我,1
浮夸,1
论剧情反转紧凑不如韩剧，论普通话配音不如甄嬛传，普普通通感觉不到哪里好看还被天天推，真就那样吧不如第九节课,1
第一集就劝退，119和交警来的比干新闻的都慢？,1
表面上是大女主职场剧实际上还是在围着diao子转，夹杂私货背刺女性。。。还有给差评的大部分都是受不了女主，你们有事情吗？看不得女的有能力有野心呗，即使梁是个业务能力差只会搞关系玩弄虜子感情的人但牠还是个好人呗。。。diao子争取权力的时候比文要恶心很多吧，文可没逼薇出去卖呢。。。而且梁有那么多虜给牠拉磨怎么不说。。。爱diao爱的别太明显了。。。,1
一个台，可以允许两个大主播在新闻播报或者live的时候争抢？这是播放事故吧？而且还屡屡发生。这样整个台都要垮掉了吧？,1
现在太高了7-7.5差不多,1
什么装逼剧 尬到抠脚,1
"这部剧到底想表达啥？
煽动性别对立？
宣扬恶劣职场？
是还嫌现在环境不够糟嘛🙄",1
记者牛逼啊，跑到火场里拍视频，然后消防员本来救伤员的，现在还要来救记者。HK的消防员是不是人很多很闲啊,1
太油腻了，都什么年代了，目无法纪，女主比警察还厉害……这配音也是绝了，这么多年了感情就这一个配音员啊！,1
非常难看。全网夸+大女主戏宣传，抱着极大的期待来看的，7集弃。我看不出来女主的实力到底好在哪里，靠pua下属让其卖命然后坐收渔翁之利并不高明。全程靠装逼的特写慢镜油滑的表情堆砌，把你期待值拉的无限高剧情又拍不出任何实质性的东西，内核让人感觉在看快手小短剧。,1
烂片，社会引导极差！身为记者，肆意闯入公安办案枪支对峙现场，激怒歹徒。又进入火灾现场，引发二次爆炸，至现场幸存者如危险境地，视人命如草芥。还玩宫斗，不惜误导大众。,1
1集抛,1
女主真是够恶心的  牺牲别人 成全自己,1
作为曾经的电视台主持人，看不下去…浮夸得没边了，更不要说在这个电视媒体已死的年代,1
没意思,1
太浮夸+全程装b+剧本太假。新闻记者比消防警察还早到现场？同一家新闻公司打反调，还是在直播的时候？讲得好似新闻记者控制一切一样...新闻记者为了资料去犯罪刑事，真的无语。二星是给佘诗曼，马国明和李施嬅的。剧本真的太浮夸了。,2
被评论骗进去了 看了之后发现自己也有马失前蹄的时候 港剧画面倒是跟进内地越来越清晰了 但是食之无味 让人觉得悲哀 无非就是换到🇭🇰去拍的大陆剧罢了 台剧画质依然很烂 但影像质感一直都在 说不出更多 就是悲哀,2
冲着马明同阿佘去的，结果大失所望。阿佘真的不适合这个角色，太装逼了没有气场，不是绷着脸就是飒爽专业的，还有口播太违和了。还有事故现场记者居然比消防还快，女记者还要妨碍消防，阻住地球转。马明反而令我出乎意料，口播还不错。,2
快 2024 年了，还在为了爽而爽为了斗而斗，太累了，做点好饭菜吧！,2
